carat,cut,color,clarity,depth,table,x,y,z,price
1.72,Premium,G,SI1,60.0,57.0,4.43,4.39,2.77,14057
0.74,Ideal,G,SI1,63.1,55.0,1.89,1.81,1.13,3419
0.49,Ideal,D,SI2,63.4,55.0,1.27,1.3,0.76,693
0.79,Premium,G,VS2,61.8,58.0,2.04,2.04,1.26,3514
0.56,Very Good,D,VS2,64.5,63.0,1.41,1.36,0.88,1653
0.54,Very Good,J,VVS1,62.9,59.0,1.36,1.38,0.83,1688
0.92,Good,E,SI2,62.7,54.0,2.34,2.27,1.38,4889
0.33,Ideal,D,VS1,60.6,56.0,0.84,0.79,0.52,300
0.36,Premium,I,VS1,62.6,56.0,0.92,0.88,0.57,300
0.75,Ideal,G,VS1,62.0,56.0,1.89,1.92,1.14,2913
0.73,Fair,I,VVS1,62.4,57.0,1.84,1.91,1.09,3249
0.88,Ideal,E,VS1,60.7,58.0,2.21,2.18,1.35,4791
1.89,Ideal,F,VVS1,61.9,59.0,4.87,4.94,2.88,16178
0.78,Very Good,F,SI1,60.6,60.0,2.02,2.02,1.23,4158
1.0,Very Good,I,VS2,58.7,59.0,2.52,2.53,1.49,5954
0.45,Very Good,H,I1,63.1,53.0,1.14,1.14,0.68,300
1.09,Very Good,J,I1,59.6,55.0,2.74,2.73,1.66,6448
0.57,Premium,H,SI1,61.9,57.0,1.47,1.49,0.87,1908
0.77,Premium,F,SI2,62.2,58.0,1.99,2.03,1.18,2741
0.7,Very Good,D,SI1,62.2,59.0,1.77,1.73,1.1,2610
1.24,Premium,E,SI2,61.3,58.0,3.14,3.13,1.86,8130
0.38,Good,G,SI2,62.1,58.0,0.96,1.04,0.59,300
0.24,Very Good,D,VVS1,62.4,58.0,0.61,0.62,0.38,300
0.67,Premium,E,I1,62.7,57.0,1.72,1.73,1.02,1716
0.94,Premium,D,VS1,64.1,58.0,2.4,2.46,1.43,5660
0.8,Ideal,F,SI2,62.0,60.0,2.07,2.04,1.27,3546
1.37,Very Good,H,VVS1,61.8,57.0,3.45,3.45,2.08,9948
0.92,Premium,J,VVS1,60.4,57.0,2.37,2.41,1.44,5179
0.56,Premium,E,VS1,62.3,57.0,1.42,1.48,0.89,1894
0.23,Fair,I,VS1,62.6,60.0,0.58,0.46,0.35,300
0.66,Premium,H,I1,61.4,55.0,1.69,1.65,1.04,2168
1.24,Very Good,F,IF,62.5,61.0,3.2,3.15,2.01,8635
0.61,Good,F,VVS1,61.3,55.0,1.57,1.56,0.93,2311
0.75,Ideal,F,VVS1,62.6,56.0,1.93,1.88,1.14,3272
0.91,Ideal,I,VS1,63.0,59.0,2.34,2.37,1.43,5036
0.45,Ideal,G,SI1,63.0,60.0,1.14,1.15,0.72,927
1.01,Very Good,F,VVS1,61.9,54.0,2.6,2.64,1.56,6163
1.68,Good,D,SI1,60.2,55.0,4.32,4.37,2.61,12939
0.68,Ideal,E,VS2,60.8,58.0,1.74,1.77,1.03,2643
0.42,Premium,D,SI2,62.5,63.0,1.07,1.05,0.65,484
0.72,Good,E,VVS1,65.1,60.0,1.85,1.86,1.09,3372
0.24,Premium,F,SI2,61.2,57.0,0.62,0.6,0.38,300
0.88,Fair,I,SI1,62.3,52.0,2.23,2.16,1.37,3935
0.93,Ideal,E,VS2,60.9,58.0,2.39,2.44,1.5,5377
1.71,Very Good,F,VS1,60.3,58.0,4.4,4.4,2.74,13759
0.67,Ideal,F,VS2,60.8,57.0,1.69,1.61,1.05,2571
0.91,Very Good,G,SI1,58.8,56.0,2.34,2.37,1.4,5046
0.48,Premium,F,I1,63.6,58.0,1.21,1.2,0.72,539
0.62,Premium,G,VS1,58.6,55.0,1.56,1.46,0.96,2728
0.35,Very Good,G,IF,61.3,62.0,0.89,0.82,0.54,502
0.67,Ideal,I,VVS2,60.1,61.0,1.73,1.69,1.06,2956
0.64,Ideal,E,VS2,60.5,59.0,1.61,1.62,0.96,2746
0.86,Ideal,I,VVS1,63.6,58.0,2.21,2.25,1.35,4230
0.54,Ideal,J,SI1,62.0,56.0,1.38,1.42,0.82,1044
0.77,Premium,G,VS2,60.3,57.0,1.98,2.01,1.2,3662
0.63,Ideal,F,VS2,60.9,61.0,1.62,1.62,0.96,1851
0.63,Good,G,VS2,60.6,59.0,1.62,1.71,1.01,2230
0.77,Very Good,H,VVS2,61.6,58.0,1.98,2.01,1.17,3241
0.76,Fair,F,VS2,61.9,60.0,1.96,1.97,1.23,2948
1.08,Very Good,G,SI1,64.4,59.0,2.73,2.76,1.7,6108
0.7,Premium,D,SI1,59.0,58.0,1.77,1.75,1.1,3017
0.62,Very Good,D,SI2,61.7,60.0,1.57,1.57,0.99,1527
0.68,Ideal,G,VS2,61.3,59.0,1.75,1.65,1.04,3053
0.52,Very Good,H,SI1,63.0,59.0,1.31,1.29,0.81,922
0.62,Very Good,E,SI2,62.2,58.0,1.57,1.66,0.98,2541
2.05,Premium,J,VS1,62.5,57.0,5.29,5.3,3.15,17783
0.47,Very Good,G,VS1,62.2,56.0,1.21,1.22,0.74,870
0.64,Ideal,G,VS1,60.4,56.0,1.65,1.7,1.0,2174
0.61,Good,D,VS2,63.4,54.0,1.54,1.56,0.94,1420
0.65,Ideal,J,VVS1,62.8,55.0,1.65,1.61,1.03,2683
0.63,Ideal,F,VVS1,63.0,55.0,1.6,1.6,0.98,2127
0.85,Very Good,E,VVS2,63.5,56.0,2.13,2.07,1.26,4626
0.32,Fair,G,VS1,62.3,61.0,0.81,0.82,0.51,300
1.24,Ideal,J,SI1,63.8,57.0,3.15,3.11,1.88,8288
1.02,Ideal,D,IF,62.2,58.0,2.57,2.62,1.61,6854
0.4,Ideal,G,SI1,61.4,58.0,1.02,0.99,0.64,300
0.24,Ideal,F,SI1,61.7,61.0,0.61,0.57,0.38,300
0.45,Good,H,VS2,61.7,56.0,1.13,1.12,0.7,300
0.66,Very Good,G,SI2,61.0,57.0,1.69,1.71,1.05,1962
2.69,Good,G,IF,64.0,57.0,6.91,6.85,4.27,20000
0.97,Ideal,J,VS2,62.1,60.0,2.5,2.47,1.52,5402
0.3,Ideal,I,VS2,61.8,60.0,0.76,0.77,0.46,300
0.52,Very Good,D,VS1,62.2,59.0,1.34,1.41,0.81,909
0.72,Good,H,VS2,65.9,60.0,1.86,1.73,1.15,3112
0.84,Very Good,I,SI2,60.1,58.0,2.14,2.17,1.32,4259
0.38,Very Good,G,VS2,60.5,57.0,0.97,0.95,0.59,300
0.69,Ideal,E,VS1,59.8,60.0,1.73,1.71,1.07,3315
0.52,Ideal,J,SI1,61.4,59.0,1.33,1.3,0.83,915
0.43,Ideal,F,VS1,62.0,56.0,1.1,1.08,0.68,560
0.84,Premium,I,SI1,61.0,60.0,2.17,2.2,1.29,3856
1.09,Good,J,SI1,60.9,57.0,2.79,2.76,1.69,6283
1.13,Ideal,J,SI2,61.9,57.0,2.92,3.0,1.75,6820
0.99,Ideal,D,SI1,61.0,59.0,2.55,2.58,1.56,6536
0.58,Premium,I,VVS2,62.1,57.0,1.5,1.51,0.89,1960
1.06,Ideal,J,VVS2,63.3,58.0,2.69,2.68,1.67,6358
0.86,Premium,G,SI1,62.6,59.0,2.17,2.23,1.29,4200
0.79,Premium,D,VS2,62.9,56.0,2.03,2.1,1.22,3516
0.55,Premium,H,VS1,63.2,58.0,1.41,1.35,0.88,1211
0.58,Fair,G,SI1,62.1,60.0,1.47,1.43,0.87,1691
